sID	Transformation	Side	Selection	Attention_Confirmation	Age	Sex	Duration (sek)
1383	180_rot	left	2	1	31	2	83
1397	180_rot	left	2	1	24	2	67
1411	180_rot	left	2	1	24	1	162
1438	180_rot	left	2	1	26	2	148
1439	180_rot	left	2	1	22	1	203
1467	180_rot	left	1	1	35	1	438
1475	180_rot	left	2	1	32	2	274
1493	180_rot	left	2	1	33	2	86
1508	180_rot	left	2	1	34	1	174
1509	180_rot	left	2	1	20	2	49
1519	180_rot	left	2	1	18	1	39
1538	180_rot	left	2	1	19	2	62
1559	180_rot	left	2	1	31	2	73
1576	180_rot	left	2	1	25	2	60
1587	180_rot	left	2	1	48	2	97
1607	180_rot	left	2	1	52	1	73
1622	180_rot	left	2	1	29	1	67
1636	180_rot	left	2	1	27	2	165
1642	180_rot	left	2	1	55	2	131
1657	180_rot	left	1	1	20	2	60
1671	180_rot	left	2	1	29	1	78
1698	180_rot	left	2	1	35	2	60
1707	180_rot	left	2	1	24	2	45
1725	180_rot	left	2	1	36	2	79
1732	180_rot	left	2	1	23	2	133
1743	180_rot	left	2	1	56	2	80
1764	180_rot	left	1	1	54	2	153
1768	180_rot	left	2	1	31	2	64
1789	180_rot	left	1	1	60	2	176
1802	180_rot	left	2	1	21	2	69
1822	180_rot	left	2	1	29	2	105
1824	180_rot	left	2	1	50	2	96
1850	180_rot	left	2	1	21	1	72
1856	180_rot	left	2	1	64	1	134
1871	180_rot	left	1	1	33	1	101
1875	180_rot	left	1	1	20	3	81
1893	180_rot	left	1	1	59	1	99
1910	180_rot	left	2	1	21	1	192
1931	180_rot	left	2	1	33	1	90
1947	180_rot	left	2	1	30	1	96
1950	180_rot	left	2	1	20	3	89
1980	180_rot	left	2	1	36	1	121
1988	180_rot	left	2	1	33	1	69
1998	180_rot	left	2	1	47	1	68
2004	180_rot	left	2	1	33	2	166
2025	180_rot	left	1	1	34	1	150
2031	180_rot	left	2	1	45	2	147
2056	180_rot	left	2	1	23	2	223
2064	180_rot	left	2	1	42	2	87
2085	180_rot	left	2	1	36	1	804
2095	180_rot	left	1	1	53	1	93
2108	180_rot	left	2	1	32	2	98
2126	180_rot	left	2	1	28	2	116
2149	180_rot	left	2	1	37	3	113
2179	180_rot	left	1	1	29	1	85
2181	180_rot	left	1	1	33	1	90
2196	180_rot	left	2	1	30	1	212
2206	180_rot	left	2	1	29	2	54
2226	180_rot	left	1	1	34	1	59
2233	180_rot	left	2	1	33	1	44
2254	180_rot	left	2	1	42	1	190
1388	180_rot	right	1	1	58	2	86
1409	180_rot	right	1	1	29	2	42
1421	180_rot	right	1	1	31	1	84
1436	180_rot	right	1	1	39	2	119
1451	180_rot	right	2	1	31	2	74
1464	180_rot	right	1	1	36	2	183
1466	180_rot	right	1	1	53	1	95
1482	180_rot	right	2	1	20	2	105
1512	180_rot	right	1	1	31	2	109
1517	180_rot	right	2	1	48	1	128
1518	180_rot	right	1	1	18	2	218
1539	180_rot	right	1	1	56	2	100
1557	180_rot	right	2	1	53	2	100
1578	180_rot	right	1	1	58	1	79
1580	180_rot	right	1	1	22	2	121
1613	180_rot	right	2	1	43	2	106
1618	180_rot	right	2	1	35	2	149
1621	180_rot	right	1	1	23	1	39
1649	180_rot	right	2	1	45	2	107
1667	180_rot	right	2	1	66	2	218
1675	180_rot	right	1	1	56	1	78
1684	180_rot	right	1	1	24	2	87
1694	180_rot	right	1	1	40	2	93
1713	180_rot	right	2	1	23	2	214
1733	180_rot	right	1	1	36	2	85
1745	180_rot	right	1	1	38	2	71
1758	180_rot	right	1	1	20	2	79
1782	180_rot	right	1	1	33	2	77
1791	180_rot	right	1	1	34	1	63
1803	180_rot	right	1	1	29	2	88
1805	180_rot	right	1	1	21	1	58
1832	180_rot	right	1	1	38	2	162
1837	180_rot	right	1	1	57	2	112
1867	180_rot	right	2	1	36	1	96
1870	180_rot	right	1	1	45	2	81
1881	180_rot	right	2	1	19	2	86
1897	180_rot	right	1	1	19	1	64
1912	180_rot	right	2	1	38	1	79
1928	180_rot	right	1	1	37	2	102
1930	180_rot	right	2	1	20	1	-1
1961	180_rot	right	1	1	22	1	90
1963	180_rot	right	1	1	26	2	406
1973	180_rot	right	1	1	29	2	72
1981	180_rot	right	1	1	30	1	360
2014	180_rot	right	1	1	20	2	66
2021	180_rot	right	2	1	35	2	184
2034	180_rot	right	2	1	44	2	91
2053	180_rot	right	1	1	21	2	68
2071	180_rot	right	2	1	36	2	98
2090	180_rot	right	1	1	59	2	113
2096	180_rot	right	1	1	37	1	96
2124	180_rot	right	2	1	32	2	64
2127	180_rot	right	1	1	22	2	55
2137	180_rot	right	1	1	46	2	247
2165	180_rot	right	1	1	18	1	71
2167	180_rot	right	1	1	64	1	118
2183	180_rot	right	1	1	32	1	84
2192	180_rot	right	2	1	18	2	168
2211	180_rot	right	1	1	23	2	69
2222	180_rot	right	1	1	24	1	101
2246	180_rot	right	1	1	35	1	84
1391	90_rot	left	2	1	31	2	84
1400	90_rot	left	2	1	37	2	81
1415	90_rot	left	2	1	46	2	92
1426	90_rot	left	2	1	25	2	93
1445	90_rot	left	2	1	37	2	86
1455	90_rot	left	2	1	21	1	132
1477	90_rot	left	2	1	21	2	77
1491	90_rot	left	2	1	18	2	92
1496	90_rot	left	1	1	20	2	88
1502	90_rot	left	2	1	27	1	244
1515	90_rot	left	1	1	57	1	246
1549	90_rot	left	1	1	22	1	39
1570	90_rot	left	2	1	52	2	78
1579	90_rot	left	2	1	23	2	115
1588	90_rot	left	2	1	24	1	84
1601	90_rot	left	2	1	18	3	111
1604	90_rot	left	2	1	25	2	152
1630	90_rot	left	1	1	43	1	291
1644	90_rot	left	2	1	36	2	113
1651	90_rot	left	2	1	39	2	155
1652	90_rot	left	1	1	54	1	155
1679	90_rot	left	2	1	41	1	171
1701	90_rot	left	2	1	36	2	110
1722	90_rot	left	2	1	46	2	70
1735	90_rot	left	1	1	25	2	95
1742	90_rot	left	2	1	34	1	63
1759	90_rot	left	2	1	28	2	62
1770	90_rot	left	2	1	26	2	93
1784	90_rot	left	1	1	18	1	108
1793	90_rot	left	2	1	37	2	165
1807	90_rot	left	1	1	20	2	70
1826	90_rot	left	2	1	45	1	103
1854	90_rot	left	2	1	36	2	107
1882	90_rot	left	2	1	20	2	124
1883	90_rot	left	2	1	20	2	74
1911	90_rot	left	2	1	25	2	78
1916	90_rot	left	2	1	62	1	202
1918	90_rot	left	2	1	39	2	60
1935	90_rot	left	2	1	28	1	88
1939	90_rot	left	2	1	42	2	303
1968	90_rot	left	1	1	43	1	218
1977	90_rot	left	2	1	37	2	175
1999	90_rot	left	2	1	24	2	115
2015	90_rot	left	2	1	68	1	75
2038	90_rot	left	2	1	46	1	172
2042	90_rot	left	2	1	44	1	114
2051	90_rot	left	2	1	48	1	81
2073	90_rot	left	2	1	34	2	136
2083	90_rot	left	2	1	34	2	59
2086	90_rot	left	2	1	50	1	225
2106	90_rot	left	2	1	25	1	68
2132	90_rot	left	2	1	22	2	59
2148	90_rot	left	1	1	45	2	83
2153	90_rot	left	2	1	30	2	142
2166	90_rot	left	2	1	32	2	143
2180	90_rot	left	2	1	38	2	311
2182	90_rot	left	2	1	30	2	94
2207	90_rot	left	1	1	21	2	68
2223	90_rot	left	2	1	27	1	95
2241	90_rot	left	2	1	18	2	126
2250	90_rot	left	2	1	20	1	83
1392	90_rot	right	1	1	38	2	72
1405	90_rot	right	1	1	23	1	99
1417	90_rot	right	1	1	21	3	88
