sID	Transformation	Side	Selection	Attention_Confirmation	Age	Sex	Duration (sek)
3096	180_rot	left	1	1	29	2	57
3109	180_rot	left	2	1	50	1	58
3127	180_rot	left	2	1	24	2	61
3132	180_rot	left	2	1	33	1	64
3146	180_rot	left	2	1	31	2	74
3159	180_rot	left	2	1	36	2	87
3177	180_rot	left	2	1	25	2	121
3190	180_rot	left	2	1	34	2	70
3207	180_rot	left	2	1	29	2	64
3210	180_rot	left	2	1	53	2	77
3218	180_rot	left	2	1	29	2	216
3251	180_rot	left	2	1	28	1	58
3253	180_rot	left	2	1	32	1	108
3275	180_rot	left	2	1	22	2	94
3296	180_rot	left	2	1	41	1	86
3317	180_rot	left	2	1	25	2	90
3334	180_rot	left	2	1	49	1	205
3344	180_rot	left	2	1	26	2	63
3374	180_rot	left	2	1	31	1	56
3388	180_rot	left	2	1	26	2	85
3391	180_rot	left	2	1	23	2	394
3400	180_rot	left	2	1	34	2	122
3427	180_rot	left	2	1	51	1	95
3436	180_rot	left	2	1	47	2	104
3453	180_rot	left	2	1	23	1	84
3454	180_rot	left	1	1	21	2	58
3475	180_rot	left	2	1	18	1	112
3478	180_rot	left	2	1	26	2	123
3519	180_rot	left	2	1	21	1	59
3535	180_rot	left	2	1	35	1	135
3536	180_rot	left	2	1	22	2	117
3556	180_rot	left	2	1	36	2	73
3560	180_rot	left	1	1	24	1	51
3574	180_rot	left	2	1	71	1	178
3588	180_rot	left	2	1	60	2	142
3604	180_rot	left	2	1	19	2	113
3620	180_rot	left	2	1	24	1	36
3641	180_rot	left	2	1	56	1	76
3654	180_rot	left	2	1	24	1	153
3667	180_rot	left	2	1	59	2	276
3668	180_rot	left	2	1	23	1	118
3692	180_rot	left	2	1	21	2	77
3707	180_rot	left	2	1	35	1	142
3727	180_rot	left	2	1	34	2	109
3739	180_rot	left	2	1	29	2	155
3754	180_rot	left	2	1	22	2	55
3764	180_rot	left	2	1	18	1	111
3770	180_rot	left	2	1	47	1	156
3789	180_rot	left	2	1	30	2	72
3804	180_rot	left	2	1	37	2	75
3821	180_rot	left	2	1	27	1	101
3833	180_rot	left	2	1	20	1	96
3844	180_rot	left	2	1	37	1	235
3870	180_rot	left	2	1	37	2	1117
3876	180_rot	left	2	1	21	2	84
3890	180_rot	left	2	1	22	2	79
3913	180_rot	left	2	1	21	2	68
3919	180_rot	left	2	1	23	2	44
3939	180_rot	left	2	1	35	1	87
3954	180_rot	left	2	1	18	1	91
3969	180_rot	left	2	1	22	2	59
3091	180_rot	right	2	1	25	1	87
3099	180_rot	right	1	1	20	2	63
3117	180_rot	right	1	1	19	2	63
3138	180_rot	right	1	1	44	1	124
3143	180_rot	right	1	1	35	1	107
3161	180_rot	right	1	1	29	1	60
3166	180_rot	right	1	1	41	1	156
3187	180_rot	right	1	1	22	1	99
3198	180_rot	right	1	1	45	2	110
3224	180_rot	right	1	1	21	2	107
3234	180_rot	right	1	1	28	2	183
3247	180_rot	right	2	1	22	2	76
3248	180_rot	right	1	1	34	1	67
3272	180_rot	right	1	1	48	1	251
3280	180_rot	right	1	1	58	2	123
3305	180_rot	right	1	1	24	2	77
3319	180_rot	right	1	1	46	2	104
3335	180_rot	right	1	1	28	2	114
3338	180_rot	right	1	1	33	1	468
3358	180_rot	right	1	1	81	2	159
3369	180_rot	right	1	1	53	1	201
3375	180_rot	right	1	1	28	2	91
3409	180_rot	right	1	1	38	1	120
3411	180_rot	right	1	1	26	2	90
3437	180_rot	right	1	1	50	2	106
3465	180_rot	right	1	1	23	1	48
3467	180_rot	right	1	1	22	2	61
3476	180_rot	right	2	1	34	2	56
3495	180_rot	right	1	1	23	1	85
3502	180_rot	right	1	1	24	2	141
3513	180_rot	right	1	1	40	1	75
3540	180_rot	right	1	1	19	2	155
3550	180_rot	right	1	1	21	2	76
3568	180_rot	right	1	1	21	1	57
3591	180_rot	right	1	1	37	2	64
3598	180_rot	right	2	1	19	2	262
3600	180_rot	right	1	1	37	2	99
3623	180_rot	right	1	1	24	2	112
3643	180_rot	right	1	1	21	2	96
3650	180_rot	right	1	1	26	2	120
3666	180_rot	right	1	1	19	1	75
3676	180_rot	right	1	1	20	1	113
3693	180_rot	right	1	1	28	2	72
3708	180_rot	right	1	1	29	2	75
3722	180_rot	right	1	1	28	2	50
3734	180_rot	right	1	1	18	1	132
3756	180_rot	right	2	1	36	2	137
3769	180_rot	right	1	1	34	1	80
3787	180_rot	right	1	1	67	1	91
3790	180_rot	right	1	1	60	1	126
3802	180_rot	right	1	1	60	2	174
3818	180_rot	right	1	1	43	1	123
3845	180_rot	right	1	1	33	1	83
3858	180_rot	right	1	1	35	1	85
3863	180_rot	right	1	1	56	2	87
3882	180_rot	right	1	1	29	1	48
3891	180_rot	right	1	1	25	1	103
3907	180_rot	right	2	1	33	1	61
3920	180_rot	right	1	1	30	1	69
3930	180_rot	right	1	1	19	2	129
3943	180_rot	right	1	1	58	2	113
3087	90_rot	left	2	1	33	1	99
3103	90_rot	left	1	1	33	2	154
3121	90_rot	left	2	1	24	1	52
3152	90_rot	left	2	1	20	2	60
3160	90_rot	left	2	1	22	2	58
3172	90_rot	left	2	1	31	1	69
3201	90_rot	left	2	1	35	2	94
3208	90_rot	left	2	1	36	1	83
3220	90_rot	left	2	1	29	1	64
3223	90_rot	left	2	1	21	2	136
3244	90_rot	left	2	1	47	2	94
3264	90_rot	left	2	1	47	2	108
3283	90_rot	left	2	1	30	2	49
3287	90_rot	left	2	1	31	2	131
3292	90_rot	left	2	1	58	2	106
3298	90_rot	left	2	1	30	2	148
3315	90_rot	left	1	1	34	2	59
3364	90_rot	left	2	1	32	1	55
3368	90_rot	left	2	1	21	1	39
3371	90_rot	left	2	1	21	1	78
3394	90_rot	left	1	1	30	2	59
3398	90_rot	left	1	1	31	1	161
3412	90_rot	left	2	1	21	2	168
3435	90_rot	left	1	1	53	1	197
3444	90_rot	left	2	1	26	2	67
3445	90_rot	left	2	1	18	2	106
3486	90_rot	left	2	1	55	2	76
3498	90_rot	left	2	1	18	1	68
3504	90_rot	left	2	1	51	1	159
3524	90_rot	left	2	1	34	2	104
3531	90_rot	left	2	1	83	1	162
3552	90_rot	left	1	1	47	2	92
3576	90_rot	left	2	1	56	1	71
3579	90_rot	left	2	1	41	2	103
3585	90_rot	left	2	1	48	1	92
3603	90_rot	left	2	1	46	1	242
3608	90_rot	left	1	1	36	2	77
3614	90_rot	left	2	1	22	2	105
3642	90_rot	left	2	1	19	1	100
3659	90_rot	left	2	1	18	1	40
3683	90_rot	left	2	1	33	1	258
3690	90_rot	left	2	1	25	2	83
3703	90_rot	left	2	1	27	2	92
3715	90_rot	left	2	1	28	1	216
3743	90_rot	left	2	1	34	2	95
3755	90_rot	left	2	1	27	2	82
3761	90_rot	left	2	1	18	1	49
3777	90_rot	left	2	1	48	2	87
3788	90_rot	left	2	1	20	4	72
3797	90_rot	left	2	1	30	2	210
3817	90_rot	left	2	1	39	1	83
3835	90_rot	left	2	1	42	1	67
3851	90_rot	left	2	1	27	2	66
3868	90_rot	left	2	1	36	2	220
3875	90_rot	left	2	1	33	2	89
3892	90_rot	left	2	1	26	2	82
3901	90_rot	left	1	1	29	2	238
