sID	Transformation	Side	Selection	Attention_Confirmation	Age	Sex	Duration (sek)
3983	180_rot	left	2	1	20	1	55
3997	180_rot	left	1	1	28	2	96
4012	180_rot	left	2	1	48	1	95
4023	180_rot	left	1	1	30	1	100
4038	180_rot	left	1	1	35	1	282
4056	180_rot	left	2	1	31	2	88
4067	180_rot	left	1	1	37	1	65
4095	180_rot	left	2	1	36	2	205
4111	180_rot	left	2	1	36	1	161
4119	180_rot	left	1	1	34	1	114
4132	180_rot	left	2	1	31	1	110
4153	180_rot	left	2	1	27	2	84
4184	180_rot	left	2	1	49	2	87
4187	180_rot	left	1	1	35	2	647
4191	180_rot	left	2	1	26	2	111
4229	180_rot	left	1	1	23	1	214
4245	180_rot	left	1	1	32	2	94
4255	180_rot	left	1	1	31	1	200
4263	180_rot	left	1	1	25	1	123
4286	180_rot	left	2	1	20	2	101
4299	180_rot	left	2	1	27	1	212
4307	180_rot	left	2	1	21	2	95
4325	180_rot	left	2	1	20	2	120
4336	180_rot	left	2	1	54	1	139
4356	180_rot	left	2	1	62	2	315
4372	180_rot	left	2	1	29	2	120
4385	180_rot	left	2	1	33	1	151
4404	180_rot	left	2	1	22	2	69
4417	180_rot	left	2	1	44	1	79
4428	180_rot	left	2	1	29	1	80
4450	180_rot	left	1	1	29	1	227
4453	180_rot	left	1	1	26	2	149
4477	180_rot	left	2	1	38	2	126
4485	180_rot	left	2	1	21	2	52
4494	180_rot	left	1	1	62	1	145
4521	180_rot	left	2	1	35	2	121
4528	180_rot	left	2	1	38	1	309
4546	180_rot	left	2	1	30	2	92
4549	180_rot	left	2	1	36	2	75
4576	180_rot	left	2	1	34	2	79
4581	180_rot	left	2	1	45	2	163
4598	180_rot	left	1	1	37	1	152
4610	180_rot	left	2	1	27	1	120
4615	180_rot	left	2	1	50	1	276
4643	180_rot	left	2	1	31	1	53
4659	180_rot	left	2	1	37	1	157
4661	180_rot	left	2	1	44	1	86
4677	180_rot	left	1	1	46	2	193
4700	180_rot	left	1	1	36	2	351
4722	180_rot	left	2	1	49	1	87
4724	180_rot	left	2	1	41	1	397
4726	180_rot	left	1	1	22	1	75
4743	180_rot	left	2	1	52	1	109
4770	180_rot	left	2	1	19	2	99
4781	180_rot	left	2	1	46	2	188
4793	180_rot	left	2	1	52	1	115
4812	180_rot	left	2	1	37	1	119
4829	180_rot	left	2	1	38	2	120
4843	180_rot	left	2	1	54	1	116
4854	180_rot	left	2	1	33	1	87
4862	180_rot	left	2	1	26	2	157
3979	180_rot	right	2	1	33	1	173
3998	180_rot	right	1	1	46	2	153
4015	180_rot	right	2	1	23	2	90
4021	180_rot	right	1	1	25	2	88
4042	180_rot	right	1	1	34	1	74
4059	180_rot	right	2	1	22	1	104
4075	180_rot	right	2	1	68	1	142
4089	180_rot	right	2	1	41	1	72
4094	180_rot	right	2	1	56	2	175
4112	180_rot	right	1	1	50	1	253
4129	180_rot	right	1	1	46	2	239
4144	180_rot	right	1	1	32	2	176
4147	180_rot	right	2	1	55	1	71
4172	180_rot	right	2	1	38	2	107
4180	180_rot	right	1	1	58	2	792
4200	180_rot	right	2	1	37	1	85
4217	180_rot	right	1	1	20	1	93
4223	180_rot	right	2	1	24	1	121
4236	180_rot	right	1	1	21	1	46
4253	180_rot	right	2	1	25	2	89
4276	180_rot	right	1	1	27	2	154
4290	180_rot	right	1	1	50	3	181
4293	180_rot	right	2	1	51	2	204
