sID	Angle_none	Angle_Rotation	Angle_Size	Angle_Symmetry	Rotation_Angle	Rotation_none	Rotation_Size	Rotation_Symmetry	Size_Angle	Size_none	Size_Rotation	Size_Symmetry	X_Symmetry_none	X_Translation_none	Y_Symmetry_Angle	Y_Symmetry_none	Y_Symmetry_Rotation	Y_Symmetry_Size	Y_Translation_none	Desktop_confirmation	Attention_Confirmation	Example_answer	Age	Sex	Duration (sek)
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	5	21	2	195
2	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	5	42	1	1237
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	34	1	284
4	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	5	19	2	182
5	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	5	20	1	155
6	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	5	28	2	229
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	5	36	2	244
8	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	5	39	2	307
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	5	44	2	357
10	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	5	18	2	348
12	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	5	47	1	278
13	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	5	25	2	212
14	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	5	25	2	228
15	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	5	26	2	328
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	5	35	2	381
17	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	5	34	2	182
18	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	5	39	2	320
19	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	5	38	1	182
20	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	5	30	1	165
21	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	5	20	1	129
22	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	51	1	218
23	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	5	30	2	278
24	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	5	27	2	221
26	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	5	21	2	215
27	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	5	56	1	264
28	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	5	35	2	286
29	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	5	60	2	343
30	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	5	23	2	588
31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	5	38	1	197
